FIPS,state,county,monthly_housing,annual_transportation ,total_cost,life_expectancy,male_life_expectancy,female_life_expectancy,,,
13001,GA,Appling,732,12971,21755,74.29,73.54,75.04,,,
29187,MO,St. Francois,823,11879,21755,74.14,73.81,74.48,,,
54053,WV,Mason,759,12655,21763,70.27,69.61,70.96,,,
13299,GA,Ware,838,11709,21765,74.22,73.64,74.74,,,
35047,NM,San Miguel,877,11241,21765,79.5,79.11,79.89,,,
48387,TX,Red River,743,12853,21769,74.72,74.01,75.38,,,
28065,MS,Jefferson Davis,776,12460,21772,73.59,72.76,74.41,,,
28007,MS,Attala,763,12618,21774,73.58,72.93,74.28,,,
45009,SC,Bamberg,775,12478,21778,74.77,74.05,75.48,,,
21169,KY,Metcalfe,679,13633,21781,74.69,73.87,75.46,,,
22083,LA,Richland,742,12878,21782,74.34,73.65,74.98,,,
5043,AR,Drew,792,12280,21784,75.69,74.96,76.42,,,
13093,GA,Dooly,800,12185,21785,77.16,76.42,77.84,,,
5027,AR,Columbia,777,12463,21787,74.65,74.03,75.32,,,
48079,TX,Cochran,672,13724,21788,75.93,74.8,77.04,,,
28139,MS,Tippah,726,13078,21790,74.03,73.36,74.66,,,
28141,MS,Tishomingo,731,13019,21791,73.69,72.96,74.38,,,
1005,AL,Barbour,810,12087,21807,75.42,74.78,76.07,,,
47027,TN,Clay,762,12664,21808,74.53,73.66,75.37,,,
47183,TN,Weakley,779,12468,21816,76.77,76.21,77.28,,,
37187,NC,Washington,775,12524,21824,76.87,76.19,77.53,,,
13081,GA,Crisp,816,12035,21827,74.87,74.23,75.55,,,
29229,MO,Wright,784,12420,21828,78.7,77.63,79.78,,,
47097,TN,Lauderdale,827,11905,21829,74.28,73.66,74.94,,,
54019,WV,Fayette,772,12567,21831,74.3,73.8,74.81,,,
28153,MS,Wayne,696,13480,21832,74.58,73.91,75.23,,,
17059,IL,Gallatin,696,13483,21835,75.16,74.28,76.01,,,
21171,KY,Monroe,749,12847,21835,73.83,73.04,74.58,,,
47049,TN,Fentress,747,12878,21842,73.43,72.76,74.09,,,
1025,AL,Clarke,785,12427,21847,75.46,74.78,76.08,,,
47135,TN,Perry,763,12697,21853,74.24,73.38,75.12,,,
4011,AZ,Greenlee,666,13867,21859,78.25,77.35,79.11,,,
21217,KY,Taylor,800,12272,21872,76.02,75.41,76.65,,,
13269,GA,Taylor,808,12182,21878,74.58,73.7,75.43,,,
12125,FL,Union,839,11815,21883,67.57,66.69,68.42,,,
28019,MS,Choctaw,740,13006,21886,76.48,75.61,77.28,,,
47025,TN,Claiborne,782,12506,21890,73.72,73.12,74.3,,,
47061,TN,Grundy,766,12698,21890,72.46,71.72,73.24,,,
21175,KY,Morgan,811,12162,21894,75.65,74.91,76.41,,,
28157,MS,Wilkinson,776,12593,21905,72.38,71.48,73.2,,,
48173,TX,Glasscock,506,15835,21907,79.81,78.37,81.26,,,
13277,GA,Tift,802,12290,21914,75.36,74.79,75.96,,,
29510,MO,St. Louis,955,10455,21915,75.92,75.25,76.64,,,
17153,IL,Pulaski,788,12472,21928,74.72,73.89,75.6,,,
22067,LA,Morehouse,831,11963,21935,72.8,72.19,73.4,,,
54043,WV,Lincoln,685,13717,21937,73.58,72.95,74.25,,,
51051,VA,Dickenson,787,12502,21946,79.94,79.65,80.25,,,
51027,VA,Buchanan,816,12155,21947,74.18,73.49,74.86,,,
31017,NE,Brown,692,13655,21959,80.4,79.4,81.32,,,
47091,TN,Johnson,811,12229,21961,75.76,75.09,76.43,,,
51173,VA,Smyth,774,12676,21964,78.06,77.41,78.74,,,
29181,MO,Ripley,731,13194,21966,74.41,73.72,75.11,,,
17003,IL,Alexander,683,13772,21968,74.15,73.33,75,,,
5089,AR,Marion,774,12682,21970,76.57,75.9,77.22,,,
29001,MO,Adair,838,11919,21975,77.97,77.4,78.53,,,
18035,IN,Delaware,858,11681,21977,76.98,76.56,77.34,,,
13273,GA,Terrell,756,12913,21985,73.99,73.13,74.84,,,
47019,TN,Carter,806,12314,21986,76.26,75.78,76.74,,,
17095,IL,Knox,840,11909,21989,77.75,77.32,78.16,,,
22117,LA,Washington,817,12185,21989,72.79,72.25,73.33,,,
8003,CO,Alamosa,858,11697,21993,77.43,76.64,78.19,,,
22013,LA,Bienville,788,12537,21993,73.9,73.1,74.57,,,
54087,WV,Roane,775,12697,21997,75.34,74.64,76.04,,,
1109,AL,Pike,831,12026,21998,74.9,74.26,75.5,,,
5139,AR,Union,787,12557,22001,73.64,73.09,74.23,,,
48197,TX,Hardeman,788,12552,22008,77.33,76.31,78.28,,,
13055,GA,Chattooga,817,12205,22009,74.52,73.9,75.14,,,
13095,GA,Dougherty,903,11173,22009,75.19,74.68,75.66,,,
54045,WV,Logan,807,12339,22023,72.22,71.64,72.75,,,
48127,TX,Dimmit,762,12883,22027,77.8,76.89,78.64,,,
5083,AR,Logan,755,12982,22042,75.6,74.97,76.26,,,
35031,NM,McKinley,757,12958,22042,74.86,74.32,75.43,,,
5005,AR,Baxter,855,11784,22044,76.94,76.45,77.45,,,
17055,IL,Franklin,798,12478,22054,75.28,74.75,75.84,,,
17165,IL,Saline,821,12204,22056,74.9,74.26,75.48,,,
21115,KY,Johnson,824,12170,22058,73.54,72.9,74.18,,,
5071,AR,Johnson,776,12752,22064,76.48,75.88,77.08,,,
13163,GA,Jefferson,834,12058,22066,73.05,72.3,73.78,,,
45089,SC,Williamsburg,798,12490,22066,73.44,72.8,74.1,,,
13105,GA,Elbert,789,12599,22067,74.78,74.19,75.4,,,
13315,GA,Wilcox,802,12447,22071,75.03,74.15,75.82,,,
5127,AR,Scott,714,13511,22079,75.91,75.15,76.7,,,
47059,TN,Greene,814,12313,22081,75.23,74.75,75.69,,,
48445,TX,Terry,734,13283,22091,77.02,76.31,77.72,,,
54029,WV,Hancock,799,12506,22094,76.71,76.18,77.19,,,
28113,MS,Pike,841,12003,22095,73.42,72.86,74.02,,,
21153,KY,Magoffin,847,11938,22102,72.56,71.76,73.41,,,
5131,AR,Sebastian,851,11897,22109,76.19,75.79,76.6,,,
22069,LA,Natchitoches,846,11969,22121,75.61,75.05,76.14,,,
40067,OK,Jefferson,709,13613,22121,73.21,72.35,74.1,,,
12107,FL,Putnam,850,11924,22124,74.85,74.38,75.32,,,
40089,OK,McCurtain,761,12995,22127,76.31,75.57,76.99,,,
18009,IN,Blackford,802,12507,22131,76.81,76.08,77.53,,,
48353,TX,Nolan,805,12472,22132,75.45,74.73,76.17,,,
51195,VA,Wise,837,12094,22138,76.93,76.24,77.58,,,
5109,AR,Pike,754,13092,22140,75.73,75,76.45,,,
40075,OK,Kiowa,732,13360,22144,72.77,71.95,73.6,,,
22025,LA,Catahoula,778,12815,22151,73.17,72.33,74.04,,,
54011,WV,Cabell,861,11822,22154,75.12,74.7,75.54,,,
47151,TN,Scott,784,12751,22159,73.4,72.71,74.07,,,
29091,MO,Howell,811,12438,22170,75.78,75.22,76.33,,,
47005,TN,Benton,814,12406,22174,73.36,72.66,74.09,,,
22027,LA,Claiborne,816,12384,22176,75.48,74.75,76.19,,,
26069,MI,Iosco,816,12390,22182,77.38,76.87,77.94,,,
45061,SC,Lee,803,12552,22188,73,72.25,73.76,,,
16079,ID,Shoshone,809,12486,22194,75.9,75.17,76.63,,,
5113,AR,Polk,764,13028,22196,75.6,74.96,76.25,,,
21165,KY,Menifee,705,13738,22198,74.79,73.83,75.76,,,
54085,WV,Ritchie,734,13391,22199,76.13,75.37,76.85,,,
21195,KY,Pike,846,12051,22203,72.41,71.93,72.91,,,
54095,WV,Tyler,763,13054,22210,76.6,75.88,77.36,,,
48207,TX,Haskell,787,12772,22216,76.87,76.01,77.73,,,
13205,GA,Mitchell,815,12442,22222,75.1,74.46,75.83,,,
21053,KY,Clinton,793,12714,22230,74.15,73.31,75.01,,,
13239,GA,Quitman,853,11999,22235,75.81,74.5,77.09,,,
29185,MO,St. Clair,807,12552,22236,76.57,75.78,77.27,,,
45021,SC,Cherokee,822,12378,22242,74.19,73.65,74.75,,,
1053,AL,Escambia,840,12174,22254,74.15,73.59,74.75,,,
47029,TN,Cocke,834,12247,22255,73.27,72.65,73.86,,,
21207,KY,Russell,827,12341,22265,75.58,74.87,76.22,,,
29067,MO,Douglas,747,13301,22265,77.57,76.81,78.28,,,
37155,NC,Robeson,844,12142,22270,73.73,73.26,74.18,,,
13301,GA,Warren,804,12634,22282,74.26,73.26,75.2,,,
29085,MO,Hickory,822,12420,22284,77.25,76.48,78.01,,,
1059,AL,Franklin,802,12662,22286,73.31,72.65,73.88,,,
5009,AR,Boone,807,12603,22287,77.22,76.71,77.8,,,
48505,TX,Zapata,855,12027,22287,79.21,78.4,80.01,,,
54105,WV,Wirt,679,14140,22288,76.64,75.69,77.56,,,
18053,IN,Grant,801,12677,22289,76.47,76.05,76.9,,,
29093,MO,Iron,777,12969,22293,72.72,71.99,73.52,,,
48345,TX,Motley,732,13510,22294,77.87,76.67,79.05,,,
1017,AL,Chambers,822,12435,22299,74.06,73.48,74.61,,,
21055,KY,Crittenden,756,13245,22317,75.14,74.37,75.95,,,
20039,KS,Decatur,733,13533,22329,79.27,78.28,80.23,,,
40055,OK,Greer,768,13115,22331,75.73,74.8,76.67,,,
5111,AR,Poinsett,743,13419,22335,72.14,71.44,72.79,,,
29153,MO,Ozark,803,12709,22345,76.11,75.23,76.86,,,
29207,MO,Stoddard,789,12877,22345,77.96,77.16,78.81,,,
5133,AR,Sevier,759,13248,22356,75.25,74.57,76,,,
47143,TN,Rhea,819,12533,22361,75.18,74.54,75.76,,,
28143,MS,Tunica,742,13461,22365,70.93,70.01,71.83,,,
40001,OK,Adair,746,13416,22368,73.87,73.16,74.53,,,
13019,GA,Berrien,781,12999,22371,75.18,74.49,75.86,,,
48495,TX,Winkler,727,13650,22374,74.58,73.71,75.57,,,
30051,MT,Liberty,690,14095,22375,81.23,80.05,82.31,,,
12055,FL,Highlands,903,11546,22382,79.07,78.67,79.5,,,
29023,MO,Butler,829,12434,22382,74.24,73.71,74.77,,,
37075,NC,Graham,758,13287,22383,76.32,75.49,77.15,,,
13087,GA,Decatur,866,11993,22385,79.14,78.88,79.41,,,
